learning_mode,model,file_name,file_path,UCE,OGE,UGE,NNE,DTE,MGE,total_hallucinations
oneshot,qwen,201901,oneshot/qwen/201901.txt,0,0,3,2,2,20,27
zeroshot,chatgpt,201901,zeroshot/chatgpt/201901.txt,0,0,3,1,2,14,20
zeroshot,llama,201901,zeroshot/llama/201901.txt,0,0,4,3,2,29,38
zeroshot,qwen,201901,zeroshot/qwen/201901.txt,0,0,3,2,2,23,30
fewshot,chatgpt,201908,fewshot/chatgpt/201908.txt,0,0,0,0,1,1,2
fewshot,llama,201908,fewshot/llama/201908.txt,0,0,0,0,3,6,9
fewshot,qwen,201908,fewshot/qwen/201908.txt,0,0,0,0,2,3,5
oneshot,chatgpt,201908,oneshot/chatgpt/201908.txt,0,0,0,0,4,7,11
oneshot,llama,201908,oneshot/llama/201908.txt,0,0,0,0,8,13,21
oneshot,qwen,201908,oneshot/qwen/201908.txt,0,0,0,0,6,9,15
zeroshot,chatgpt,201908,zeroshot/chatgpt/201908.txt,0,0,0,0,5,8,13
zeroshot,llama,201908,zeroshot/llama/201908.txt,0,0,0,0,9,13,22
zeroshot,qwen,201908,zeroshot/qwen/201908.txt,0,0,0,0,7,9,16
fewshot,chatgpt,201912,fewshot/chatgpt/201912.txt,0,0,0,0,0,2,2
fewshot,llama,201912,fewshot/llama/201912.txt,0,0,2,1,1,9,13
fewshot,qwen,201912,fewshot/qwen/201912.txt,0,0,1,0,1,6,8
oneshot,chatgpt,201912,oneshot/chatgpt/201912.txt,0,0,3,1,2,12,18
oneshot,llama,201912,oneshot/llama/201912.txt,0,1,4,2,6,24,37
oneshot,qwen,201912,oneshot/qwen/201912.txt,0,1,4,1,3,16,25
zeroshot,chatgpt,201912,zeroshot/chatgpt/201912.txt,0,1,4,1,2,13,21
zeroshot,llama,201912,zeroshot/llama/201912.txt,0,1,6,2,7,25,41
zeroshot,qwen,201912,zeroshot/qwen/201912.txt,0,1,4,1,4,16,26
fewshot,chatgpt,202002,fewshot/chatgpt/202002.txt,0,0,1,0,0,1,2
fewshot,llama,202002,fewshot/llama/202002.txt,0,0,5,1,0,5,11
fewshot,qwen,202002,fewshot/qwen/202002.txt,0,0,3,0,0,3,6
oneshot,chatgpt,202002,oneshot/chatgpt/202002.txt,0,0,6,1,0,5,12
oneshot,llama,202002,oneshot/llama/202002.txt,0,0,11,3,1,8,23
oneshot,qwen,202002,oneshot/qwen/202002.txt,0,0,9,1,1,7,18
zeroshot,chatgpt,202002,zeroshot/chatgpt/202002.txt,0,0,7,1,0,5,13
zeroshot,llama,202002,zeroshot/llama/202002.txt,0,0,12,4,1,9,26
zeroshot,qwen,202002,zeroshot/qwen/202002.txt,0,0,9,2,1,8,20
fewshot,chatgpt,202003,fewshot/chatgpt/202003.txt,0,0,1,0,0,1,2
fewshot,llama,202003,fewshot/llama/202003.txt,0,0,2,0,1,10,13
fewshot,qwen,202003,fewshot/qwen/202003.txt,0,0,1,0,1,7,9
oneshot,chatgpt,202003,oneshot/chatgpt/202003.txt,0,0,2,0,1,11,14
oneshot,llama,202003,oneshot/llama/202003.txt,0,0,4,1,3,20,28
oneshot,qwen,202003,oneshot/qwen/202003.txt,0,0,4,0,2,13,19
zeroshot,chatgpt,202003,zeroshot/chatgpt/202003.txt,0,0,3,0,1,12,16
zeroshot,llama,202003,zeroshot/llama/202003.txt,0,0,4,1,3,21,29
zeroshot,qwen,202003,zeroshot/qwen/202003.txt,0,0,4,1,3,15,23
fewshot,chatgpt,202008,fewshot/chatgpt/202008.txt,0,0,2,1,0,9,12
fewshot,llama,202008,fewshot/llama/202008.txt,0,0,2,2,0,20,24
fewshot,qwen,202008,fewshot/qwen/202008.txt,0,0,2,1,0,14,17
oneshot,chatgpt,202008,oneshot/chatgpt/202008.txt,0,0,2,2,0,22,26
oneshot,llama,202008,oneshot/llama/202008.txt,0,0,2,4,1,37,44
oneshot,qwen,202008,oneshot/qwen/202008.txt,0,0,2,2,1,30,35
zeroshot,chatgpt,202008,zeroshot/chatgpt/202008.txt,0,0,2,2,0,26,30
zeroshot,llama,202008,zeroshot/llama/202008.txt,0,0,3,4,1,38,46
zeroshot,qwen,202008,zeroshot/qwen/202008.txt,0,0,2,2,1,34,39
fewshot,chatgpt,202102,fewshot/chatgpt/202102.txt,0,0,1,0,0,1,2
fewshot,llama,202102,fewshot/llama/202102.txt,0,0,3,0,0,4,7
fewshot,qwen,202102,fewshot/qwen/202102.txt,0,0,2,0,0,3,5
oneshot,chatgpt,202102,oneshot/chatgpt/202102.txt,0,0,3,1,0,5,9
oneshot,llama,202102,oneshot/llama/202102.txt,0,0,4,1,4,10,19
oneshot,qwen,202102,oneshot/qwen/202102.txt,0,0,4,1,2,8,15
zeroshot,chatgpt,202102,zeroshot/chatgpt/202102.txt,0,0,3,1,1,6,11
zeroshot,llama,202102,zeroshot/llama/202102.txt,0,0,4,1,5,11,21
zeroshot,qwen,202102,zeroshot/qwen/202102.txt,0,0,4,1,3,9,17
fewshot,chatgpt,202103,fewshot/chatgpt/202103.txt,0,1,0,0,0,0,1
fewshot,llama,202103,fewshot/llama/202103.txt,0,1,0,0,2,5,8
fewshot,qwen,202103,fewshot/qwen/202103.txt,0,1,0,0,1,2,4
oneshot,chatgpt,202103,oneshot/chatgpt/202103.txt,0,2,0,0,3,5,10
oneshot,llama,202103,oneshot/llama/202103.txt,0,2,3,0,6,13,24
oneshot,qwen,202103,oneshot/qwen/202103.txt,0,2,0,0,5,8,15
zeroshot,chatgpt,202103,zeroshot/chatgpt/202103.txt,0,2,0,0,4,6,12
